name;hash;path;type;size
NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);a065a1a4074a7af803fdfe43b410f09d;/storage/nf-core/exec/nextflow_workflow_tracer/work/a0/65a1a4074a7af803fdfe43b410f09d/samplesheet.valid.csv;f;1478
NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);a065a1a4074a7af803fdfe43b410f09d;/storage/nf-core/exec/nextflow_workflow_tracer/work/a0/65a1a4074a7af803fdfe43b410f09d/versions.yml;f;74
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);9e6fd81f23e4b1882ba895c341dca045;/storage/nf-core/exec/nextflow_workflow_tracer/work/9e/6fd81f23e4b1882ba895c341dca045/genome.fa.sizes;f;179
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);9e6fd81f23e4b1882ba895c341dca045;/storage/nf-core/exec/nextflow_workflow_tracer/work/9e/6fd81f23e4b1882ba895c341dca045/genome.fa.fai;f;412
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);9e6fd81f23e4b1882ba895c341dca045;/storage/nf-core/exec/nextflow_workflow_tracer/work/9e/6fd81f23e4b1882ba895c341dca045/versions.yml;f;89
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS (genome.fa);4fa3b52136c7ce085b0af62439d5e756;/storage/nf-core/exec/nextflow_workflow_tracer/work/4f/a3b52136c7ce085b0af62439d5e756/report.txt;f;1921
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS (genome.fa);4fa3b52136c7ce085b0af62439d5e756;/storage/nf-core/exec/nextflow_workflow_tracer/work/4f/a3b52136c7ce085b0af62439d5e756/kmers.txt;f;9
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS (genome.fa);4fa3b52136c7ce085b0af62439d5e756;/storage/nf-core/exec/nextflow_workflow_tracer/work/4f/a3b52136c7ce085b0af62439d5e756/versions.yml;f;78
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai);56ebf1d475a19624eab8bb9805b4eab5;/storage/nf-core/exec/nextflow_workflow_tracer/work/56/ebf1d475a19624eab8bb9805b4eab5/genome.fa.autosomes.txt;f;54
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai);56ebf1d475a19624eab8bb9805b4eab5;/storage/nf-core/exec/nextflow_workflow_tracer/work/56/ebf1d475a19624eab8bb9805b4eab5/versions.yml;f;73
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);9d4c66db994c59301351d69ecdfcd1b6;/storage/nf-core/exec/nextflow_workflow_tracer/work/9d/4c66db994c59301351d69ecdfcd1b6/genes.bed;f;400614
