task;hash;inputs;inputSize;outputs;outputSize;usedBy
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);eb7bb4746bb876018cbe037b38f3d308;1;12359807;2;21275674;8
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);9e6fd81f23e4b1882ba895c341dca045;1;12359807;3;680;25
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS (genome.fa);4fa3b52136c7ce085b0af62439d5e756;1;12359807;3;2008;0
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);9d4c66db994c59301351d69ecdfcd1b6;1;12037571;2;400680;7
NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);a065a1a4074a7af803fdfe43b410f09d;1;1371;2;1552;0
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);a10203d7ff99745f896f4c19d739bdfe;1;179;2;289;6
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai);56ebf1d475a19624eab8bb9805b4eab5;1;412;2;127;6
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP1_T1);9f2861981605bdd03e778b2013d8dec4;2;10526901;5;2272527;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T0_PE_REP1_T1);b90ce867c9e414d7abd94e03127e2e74;2;10526901;9;12353523;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP2_T1);cc806d07df866c8d6084ee2f1da50aea;2;10569505;5;2259188;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T0_PE_REP2_T1);4dc154600d9da17ac7cc7be22d604abf;2;10569505;9;12440145;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T100_SE_REP1_T1);98c467f3105b0cc0ffbfa2247321f42f;1;5272547;3;1125916;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP1_T1);86eea0f9ef5b6f79483cdfa4b1a8f8a6;1;5272547;5;6174689;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP2_T1);4fab9528cff47e21e136be3b4e0cbf48;1;5253787;5;6184323;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T100_SE_REP2_T1);8523adca393245a85594fda4cbef7ebc;1;5253787;3;1122801;1
