task_id	process	realtime	%cpu	rss	rchar	wchar	read_bytes	write_bytes	workdir	name
5	NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK	0	72.4	11448320	690087	1850	0	12288	/storage/nf-core/exec/nextflow_workflow_tracer/work/a0/65a1a4074a7af803fdfe43b410f09d	NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv)
2	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES	0	106.3	4804608	12474805	5528	0	16384	/storage/nf-core/exec/nextflow_workflow_tracer/work/9e/6fd81f23e4b1882ba895c341dca045	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)
3	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS	0	639.8	13418496	16913845	3476	0	16384	/storage/nf-core/exec/nextflow_workflow_tracer/work/4f/a3b52136c7ce085b0af62439d5e756	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:KHMER_UNIQUEKMERS (genome.fa)
7	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES	0	105.5	11132928	670552	425	0	12288	/storage/nf-core/exec/nextflow_workflow_tracer/work/56/ebf1d475a19624eab8bb9805b4eab5	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai)
4	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED	0	101.9	9289728	12240851	401948	0	409600	/storage/nf-core/exec/nextflow_workflow_tracer/work/9d/4c66db994c59301351d69ecdfcd1b6	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf)
6	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS	0	135.2	2871296	50192	819	0	12288	/storage/nf-core/exec/nextflow_workflow_tracer/work/a1/0203d7ff99745f896f4c19d739bdfe	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes)
1	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:BWA_INDEX	5000	100.8	132734976	49086677	33436139	0	33476608	/storage/nf-core/exec/nextflow_workflow_tracer/work/eb/7bb4746bb876018cbe037b38f3d308	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa)
15	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	3000	244.2	227610624	26051860	2074721	0	2371584	/storage/nf-core/exec/nextflow_workflow_tracer/work/85/23adca393245a85594fda4cbef7ebc	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T100_SE_REP2_T1)
12	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	4000	172.2	240312320	26075055	2081998	0	2412544	/storage/nf-core/exec/nextflow_workflow_tracer/work/98/c467f3105b0cc0ffbfa2247321f42f	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T100_SE_REP1_T1)
8	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	3000	259.1	380313600	32383583	4200099	0	4648960	/storage/nf-core/exec/nextflow_workflow_tracer/work/9f/2861981605bdd03e778b2013d8dec4	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP1_T1)
10	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	3000	303.5	378007552	32428452	4172648	0	4636672	/storage/nf-core/exec/nextflow_workflow_tracer/work/cc/806d07df866c8d6084ee2f1da50aea	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP2_T1)
24	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT	15	85.7	2977792	900835	612241	0	221184	/storage/nf-core/exec/nextflow_workflow_tracer/work/00/83adabc7459075fa4cb3778a7db51b	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT
13	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE	5000	170.2	222498816	101162076	69415756	0	7561216	/storage/nf-core/exec/nextflow_workflow_tracer/work/86/eea0f9ef5b6f79483cdfa4b1a8f8a6	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP1_T1)
14	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE	4000	179.2	231149568	101573569	69876633	0	7565312	/storage/nf-core/exec/nextflow_workflow_tracer/work/4f/ab9528cff47e21e136be3b4e0cbf48	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP2_T1)
16	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	3000	248.1	240386048	26200210	2069208	0	2351104	/storage/nf-core/exec/nextflow_workflow_tracer/work/d5/638d8e7589bb1360e4d44f93e0dc76	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T150_SE_REP1_T1)
20	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	4000	250.8	346861568	32635940	4175393	0	4657152	/storage/nf-core/exec/nextflow_workflow_tracer/work/39/67de41cde4ac2dba69e59001d20181	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T1)
19	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	4000	191.9	225873920	26160887	2092722	0	2359296	/storage/nf-core/exec/nextflow_workflow_tracer/work/29/f47ea311ef2b937ad50b74b6601b0c	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T150_SE_REP1_T2)
23	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC	4000	238.7	418451456	32616670	4205095	0	4644864	/storage/nf-core/exec/nextflow_workflow_tracer/work/cf/c794de5991db7f4f44d57e40f9de3e	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T2)
18	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE	5000	171.5	209620992	101944923	70047074	0	7602176	/storage/nf-core/exec/nextflow_workflow_tracer/work/f3/ecd63ebe3207426aa40ce81fcb2f6d	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T2)
