# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mLb.clN.saf" "-s" "0" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam
Interval_1	I	0	758	+	759	71	61	50	77	70	54
Interval_2	I	20728	21192	+	465	7	4	23	13	6	30
Interval_3	I	29763	29999	+	237	10	2	15	11	4	19
Interval_4	I	32439	33587	+	1149	20	19	66	20	20	70
Interval_5	I	34372	34779	+	408	15	9	14	18	8	17
Interval_6	I	34906	35106	+	201	3	3	12	4	4	14
Interval_7	I	45252	45913	+	662	17	20	40	18	22	42
Interval_8	I	48305	48697	+	393	4	1	17	4	3	19
Interval_9	I	57699	58790	+	1092	17	11	25	17	11	30
Interval_10	I	61118	61592	+	475	6	4	13	7	5	15
Interval_11	I	68034	69011	+	978	52	35	117	58	36	118
Interval_12	I	70963	71503	+	541	28	29	38	30	33	43
Interval_13	I	72560	73095	+	536	14	15	6	14	21	6
Interval_14	I	76010	76268	+	259	2	2	4	3	2	7
Interval_15	I	82024	82677	+	654	5	4	16	5	5	16
Interval_16	I	83867	84247	+	381	0	0	5	0	1	9
Interval_17	I	92347	92828	+	482	6	0	21	7	0	25
Interval_18	I	108792	109033	+	242	7	2	6	7	3	5
Interval_19	I	113258	115012	+	1755	12	7	42	12	7	45
