# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mRp.clN.saf" "-s" "0" "-o" "consensus_peaks.mRp.clN.featureCounts.txt" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam
Interval_1	I	0	650	+	651	77	69	60	71
Interval_2	I	20734	21103	+	370	13	6	4	7
Interval_3	I	29153	29973	+	821	15	7	6	12
Interval_4	I	32806	33285	+	480	19	14	12	18
Interval_5	I	34372	34847	+	476	20	9	10	17
Interval_6	I	45282	45937	+	656	18	22	20	16
Interval_7	I	47732	48031	+	300	3	3	3	2
Interval_8	I	58133	58790	+	658	13	9	8	12
Interval_9	I	61120	61435	+	316	7	5	4	4
Interval_10	I	62503	62703	+	201	7	3	2	4
Interval_11	I	68034	68791	+	758	55	35	32	49
Interval_12	I	70963	71508	+	546	30	33	29	28
Interval_13	I	72426	72864	+	439	12	17	16	12
Interval_14	I	108672	109022	+	351	8	3	4	6
Interval_15	I	138563	139267	+	705	15	11	11	13
Interval_16	I	141651	142170	+	520	32	23	17	26
Interval_17	I	143455	143895	+	441	10	9	9	9
Interval_18	I	165870	166730	+	861	12	20	15	10
Interval_19	I	168990	169232	+	243	7	5	4	7
Interval_20	I	180909	181465	+	557	28	14	12	25
Interval_21	I	182275	182670	+	396	12	6	5	10
Interval_22	I	190008	190903	+	896	35	44	36	33
Interval_23	I	198455	199701	+	1247	12	11	9	12
Interval_24	I	210901	211178	+	278	11	7	4	7
Interval_25	I	220285	220485	+	201	3	7	6	2
Interval_26	I	229449	230218	+	770	44	52	45	41
Interval_27	II	47	460	+	414	5	11	9	3
Interval_28	II	5655	6374	+	720	53	31	26	37
Interval_29	II	21209	21423	+	215	4	5	5	2
Interval_30	II	28501	29192	+	692	12	8	6	13
Interval_31	II	36132	36825	+	694	29	16	16	23
Interval_32	II	45064	45606	+	543	35	24	22	31
Interval_33	II	46649	47504	+	856	18	16	14	14
Interval_34	II	59279	59667	+	389	7	3	3	7
Interval_35	II	60843	61149	+	307	16	13	13	15
Interval_36	II	71242	71449	+	208	5	4	4	5
Interval_37	II	89292	89893	+	602	28	26	25	26
Interval_38	II	101215	101801	+	587	10	9	9	8
Interval_39	II	116821	117404	+	584	19	13	12	16
Interval_40	II	124824	125084	+	261	10	2	2	10
Interval_41	II	135702	136322	+	621	38	33	30	32
Interval_42	II	140414	141263	+	850	35	27	26	34
Interval_43	II	159587	160135	+	549	20	11	10	19
Interval_44	II	164138	165558	+	1421	69	50	47	68
Interval_45	II	167964	168352	+	389	34	22	20	30
Interval_46	II	181477	182230	+	754	10	4	4	10
Interval_47	II	191728	192276	+	549	8	7	6	10
Interval_48	II	193414	193981	+	568	18	17	16	19
Interval_49	II	197291	197563	+	273	8	1	2	8
Interval_50	II	201908	203570	+	1663	40	35	34	37
Interval_51	II	216122	217305	+	1184	13	10	9	12
Interval_52	II	221347	221558	+	212	4	8	6	2
Interval_53	II	227170	227404	+	235	6	6	3	6
Interval_54	II	235748	236563	+	816	18	14	13	16
Interval_55	II	246656	246856	+	201	3	6	5	3
Interval_56	II	251108	251605	+	498	14	14	13	12
Interval_57	II	255777	256429	+	653	27	13	12	27
Interval_58	II	278569	278769	+	201	5	6	6	4
Interval_59	II	292032	292378	+	347	6	2	2	5
Interval_60	II	297885	298143	+	259	5	4	3	5
Interval_61	II	300886	301667	+	782	8	5	3	6
Interval_62	II	310328	310628	+	301	6	5	4	6
Interval_63	II	311580	311780	+	201	5	5	3	4
Interval_64	II	326625	326848	+	224	6	6	3	6
Interval_65	II	332485	332781	+	297	14	9	9	13
Interval_66	II	336887	337345	+	459	19	7	4	16
Interval_67	II	338358	338731	+	374	10	6	6	8
Interval_68	II	341305	342422	+	1118	29	18	17	30
Interval_69	II	347194	347724	+	531	6	7	6	4
Interval_70	II	350807	351027	+	221	6	5	5	5
Interval_71	II	356079	357041	+	963	8	12	9	7
Interval_72	II	370948	371712	+	765	16	13	14	15
Interval_73	II	373419	374416	+	998	12	18	15	10
Interval_74	II	375861	376259	+	399	20	11	12	18
Interval_75	II	378655	379178	+	524	28	17	14	21
Interval_76	II	391575	392860	+	1286	29	27	23	29
Interval_77	II	405910	406254	+	345	9	8	5	4
Interval_78	II	407367	407641	+	275	7	5	5	7
Interval_79	II	408415	408912	+	498	23	12	12	21
Interval_80	II	415316	415846	+	531	19	20	18	19
Interval_81	II	418243	418451	+	209	6	4	3	7
Interval_82	II	419323	419808	+	486	7	4	4	7
Interval_83	II	426572	427277	+	706	27	13	11	24
Interval_84	II	429236	429447	+	212	9	2	2	8
Interval_85	II	444675	444998	+	324	8	5	5	7
Interval_86	II	452036	452549	+	514	11	14	10	12
Interval_87	II	454233	454928	+	696	9	3	3	9
Interval_88	II	458331	458700	+	370	6	4	3	6
Interval_89	II	466037	467036	+	1000	35	19	19	34
Interval_90	II	474096	474518	+	423	8	9	8	7
Interval_91	II	477027	477597	+	571	29	20	19	28
Interval_92	II	483443	483834	+	392	5	8	5	5
